"技能競賽影音圖像授權使用原則",2023-02-16,"歡迎對於技能競賽有興趣的民眾一起分享技能競賽的精彩與活力！
線上引用方式如下(詳情請查閱相關連結)：

請於預計引用時間之7工作天前，事先填寫線上授權引用申請表單，提供單位名稱、聯絡人、引用標的及方式。
引用之素材不可重製，保持格式完整及原始形式。
應於適當處明確註明「勞動部勞動力發展署技能檢定中心 提供」或本中心指定之文字等字樣。"
【情人節告白~絕對心動3秘「技」】,2023-02-15,"【情人節告白~絕對心動3秘「技」】
擁有技能也可以增加告白成功率嗎？

掌握以下 #絕對心動3大秘技 讓你告白無往不利

STEP1用 #展示設計 的技能，布置粉紅泡泡浪漫空間

STEP2用 #美容 的技能，打扮帥帥美美，顏值與告白成功率一起飆升

STEP3用 #西餐烹飪 的技能，準備燭光晚餐，用美食成就美滿戀情"
公開徵求全國技能競賽青年組「銲接」、「花藝」、「旅館接待」、「中餐烹飪」及青少年組「機器人」等5職類裁判長,2023-01-19,"公開徵求全國技能競賽青年組「銲接」、「花藝」、「旅館接待」、「中餐烹飪」及青少年組「機器人」等5職類裁判長，歡迎各界踴躍推薦人選。

一、請詳閱遴選審查標準、資格條件與佐證資料、技能競賽職類及技能範圍、職類技術說明書（TD）等資料。

二、受理報名時間（以郵戳為憑，逾期不予受理）：即日起至112年3月1日（星期三）止。

三、報名方式：

（一）採網路報名（點選下方連結，建議使用Chrome瀏覽器），於報名網站逐欄登錄詳填，填妥報名表後儲存（儲存後仍可修改）；列印報名表前須點選「確認送出」（之後資料將無法再修改）。

（二）列印報名表後，親自簽名並檢附相關證明資料（學歷、經歷、證照、獎狀證明、提升技能競賽構想企劃書及其他相關文件），請於112年3月1日（星期三）前掛號郵寄至【勞動部勞動力發展署技能檢定中心 技能競賽科 收】（地址：408281臺中市南屯區黎明路二段501號6樓），信封封面敬請加註【全國技能競賽裁判長遴選】字樣。

四、請預留112年3月13日至17日時段，以利參加口試審查會議。"
行政院新聞傳播處推廣「2022國際技能競賽成果」政策說明訊息,2023-01-09,我國參加「2022國際技能競賽」，名列世界第3，表現卓越。政府將持續布置技職發展舞臺，除於今（112）年啟動「國際技能競賽國手參加技術型高中公費師資培育計畫」，亦已核定未來5年的「第二期高等教育深耕計畫」，持續改善教學設備，推動產學合作，達到「適性揚才」目的。
【53全國賽專區】競賽計畫、報名資訊、競賽規則...等,2023-01-09,"【第53屆全國技能競賽暨第2屆亞洲技能競賽及第47屆國際技能競賽國手選拔賽】
一、 目的：促進我國職業訓練與技職教育發展，鼓勵國人學習技能，提高國家技術水準，並選拔優秀選手，參加國際技能競賽。
二、 依據：職業訓練法、技能競賽實施及獎勵辦法。
三、 辦理單位：
(一) 指導單位：勞動部、勞動部勞動力發展署。
(二) 主辦單位：勞動部勞動力發展署技能檢定中心。
(三) 協辦單位：相關部會、機關(構)、學校(於簡章中公告，預計於112年3月公告簡章)。
四、競賽職類：
(一) 全國技能競賽青年組：
工業機械、資訊網路布建、集體創作、機電整合、CAD機械設計製圖、CNC車床、CNC銑床、行動應用開發、商務軟體設計、銲接、建築舖面、汽車板金、飛機修護、配管與暖氣、電子、網頁技術、電氣裝配、工業控制、砌磚、粉刷技術與乾牆系統、漆作裝潢、機器人、家具木工、門窗木工、珠寶金銀細工、花藝、美髮、美容、服裝創作、西點製作、汽車技術、西餐烹飪、餐飲服務、汽車噴漆、造園景觀、冷凍空調、資訊與網路技術、平面設計技術、健康照顧、冷作、模具、展示設計、外觀模型創作、麵包製作、3D數位遊戲藝術、雲端運算、網路安全、旅館接待、數位建設BIM、工業設計技術、機器人系統整合、中餐烹飪、國服、板金、鑄造等55職類。
(二)全國技能競賽青少年組：
CAD機械設計製圖、商務軟體設計、電子、網頁技術、電氣裝配、工業控制、漆作裝潢、機器人、花藝、美髮、餐飲服務、平面設計技術及3D數位遊戲藝術等13職類。
(三)青年組及青少年組將配合參加國際(或亞洲)技能競賽辦理國手選拔賽，如國際(或亞洲)技能競賽未舉辦或未辦理職類，則不辦理國手選拔賽；如預為辦理選拔賽，但國際(或亞洲)技能競賽未舉辦或未辦理職類，則仍不參加，實際辦理國手選拔賽之職類另行公告。
(四)中餐烹飪、國服、板金、鑄造等4職類非屬國際技能競賽職類。
(五)本屆將針對國內未舉辦之國際技能競賽職類，辦理示範或表演賽，其職類、技能範圍及競賽方式將另行公告。
(六)依本辦法第27-1條規定，需逕行辦理國手選拔時，將另行公告簡章。
五、競賽日期：
本屆全國技能競賽暨國手選拔賽日期計畫訂於112年第3季至第4季，暫定為112年7月中旬，詳細日期、地點、選手資格(含國手選拔賽，可先詳閱「第53屆全國技能競賽暨第2屆亞洲技能競賽及第47屆國際技能競賽國手選拔賽計畫」)、報名及獎勵等事項另行以簡章公告。
六、競賽地點：
台北南港展覽館（1、2館)。"
第53屆全國技能競賽分區技能競賽場地公告(簡章未公布或調整部分),2023-01-09,"【北區】
桃竹苗分署幼獅訓練場 (桃園市楊梅區幼獅路二段3號)
?青少年組 ：J05機械設計製圖、J17網頁技術職類。
青年組 : 59工業設計技術職類。
中華科技大學新竹校區(新竹縣橫山鄉中華街200號)
?青年組 : 14飛機修護職類。
 

【南區】
競賽場地(簡章未公告及調整部分)：

國立臺南高級工業職業學校(710台南市永康區中山南路193號)
　　　1、青少年組：CAD機械設計製圖

台南應用科技大學(710台南市永康區中正路529號)
　　　1、青少年組－3D數位遊戲藝術
　　　2、青年組－餐飲服務、3D數位遊戲藝術、雲端運算、旅館接待

國立新營高級工業職業學校(730台南市新營區中正路68號)
　　　1、青年組－資訊網路布建、行動應用開發、西餐烹飪、數位建設BIM

待「中餐烹飪」職類競賽場地定案，將更新。"
【試題公告】第53屆分區技能競賽賽前試題公告,2023-01-09,"
第53屆全國技能競賽北、中、南區分區技能競賽，賽前公告試題資料即日起至112年2月20日止陸續公告，公告後若有異動，將於競賽前更新資料並通知，並請自行留意試題更新情形。"
112年度技能競賽儲備裁判人才庫延攬計畫-集體創作、建築舖面及雲端運算等3職類報名（即日起至112年1月19日止）,2023-01-09,"
一、請詳閱112年度技能競賽儲備裁判人才庫延攬計畫-集體創作、建築舖面及雲端運算等3職類（請查閱相關連結）。
二、徵求職類：
(一)全國技能競賽－集體創作、建築舖面及雲端運算等3職類。
(二)其餘職類具有國手身分並符合裁判資格者：符合「技能競賽實施及獎勵辦法」第17條第1項第1款「參加國際技能競賽、國際展能節職業技能競賽或亞洲技能競賽獲得優勝以上，並從事相關工作三年以上」及第2款「參加國際技能競賽或國際展能節職業技能競賽獲得優勝以上，具有大專校院以上畢業或同等學力證明，並曾接受中央主管機關聘請擔任相關職類裁判助理三次以上。」規定者。
三、受理報名時間（以郵戳為憑，逾期不受理）：即日起至112年1月19日（星期四）止（僅針對上開職類）。

四、報名限制：每人限擇一職類報名，重複者取消報名資格，另已列入裁判人才庫之人員不需再重複報名。

五、推薦方式：含自我推薦及單位推薦（免備文）二種，擇一方式報名。

六、報名方式：
採網路報名（點選下方連結，建議使用Chrome瀏覽器），於報名網站逐欄登錄詳填，於填寫完成送出後列印報名表，親自簽名並檢附相關證明文件（學、經歷、證照獎狀證明及其他相關文件）之影本，請於112年1月19日（星期四）前掛號郵寄至【勞動部勞動力發展署技能檢定中心 技能競賽科 收】（地址：408281臺中市南屯區黎明路二段501號6樓），信封封面敬請加註【技能競賽裁判人才庫】字樣。
"
112年度技能競賽儲備裁判人才庫延攬計畫報名（即日起至112年1月13日止）,2022-12-27,"
一、請詳閱112年度技能競賽儲備裁判人才庫延攬計畫（請查閱相關連結）。

 

二、徵求職類：全國技能競賽－機電整合、CAD機械設計製圖、行動應用開發、商務軟體設計、銲接、汽車板金、電子、網頁技術、電氣裝配、工業控制、砌磚、漆作裝潢、珠寶金銀細工、花藝、美髮、汽車噴漆、冷凍空調、資訊與網路技術、平面設計技術、健康照顧、模具、展示設計、外觀模型創作、3D數位遊戲藝術、旅館接待及鑄造等26職類。


三、受理報名時間（以郵戳為憑，逾期不受理）：即日起至112年1月13日（星期五）止。


四、報名限制：每人限擇一職類報名，重複者取消報名資格，另已列入裁判人才庫之人員不需再重複報名。


五、推薦方式：含自我推薦及單位推薦（免備文）二種，擇一方式報名。


六、報名方式：
採網路報名（點選下方連結，建議使用Chrome瀏覽器），於報名網站逐欄登錄詳填，於填寫完成送出後列印報名表，親自簽名並檢附相關證明文件（學、經歷、證照獎狀證明及其他相關文件）之影本，請於112年1月13日（星期五）前掛號郵寄至【勞動部勞動力發展署技能檢定中心 技能競賽科 收】（地址：408281臺中市南屯區黎明路二段501號6樓），信封封面敬請加註【技能競賽裁判人才庫】字樣。"
總統接見「2022國際技能競賽代表團」,2022-12-13,"蔡英文總統今（12）日下午接見「2022國際技能競賽代表團」，肯定此次代表團獲得世界第三的佳績，並期待未來大家繼續發揮專業，與各個領域的專業職人對話交流、共同合作，相信可以對目前社會面臨的問題，帶來更多創意的解方，促進臺灣的進步發展。

總統致詞時首先歡迎代表團來到總統府，代表團在今年第46屆的國際技能競賽當中，一共獲得6金、13銀、6銅及17優勝的佳績，在全球57個參賽國中排名第三，獲獎數也是臺灣有史以來最好的成績。這個比賽，被稱作「技能界的奧運」，所以國手們也都是我們的臺灣之光。

總統說，代表團面對疫情及國際賽延期的種種挑戰，仍然能夠克服萬難，在激烈的世界競賽當中脫穎而出。對於大家優異的表現，所有臺灣人民都同感光榮，她也要表達最高的感謝及肯定。

總統提到，代表團中有國手，也有裁判長、指導老師以及翻譯人員等成員，感謝大家共同投入心力，積極協助國手們備戰。這次的優異成果是整個團隊共同努力，才能創造的榮耀。

總統指出，這次有許多職類是第一次參加，也都締造很好的成績，包括行動應用開發、網路安全、機器人系統整合，還有數位建設BIM ，這4個職類都是第一次參加，就獲得銀牌的殊榮，真的非常不簡單。這也證明臺灣的技能實力，能跟世界各國一較高下，並受到國際的高度肯定。

總統說，所有的國手都積極投入練習，精進技術，展現強大的拚勁，也拚出亮眼的成績，對於國手們的努力，她要致上最高的肯定和敬意。

總統指出，臺灣在每一個領域都有許多這樣的技能職人，不斷地精進自己的技術，也帶動了整個社會的發展。另外，我們已經爭取到在2025年，由臺灣主辦第3屆亞洲技能競賽，這是相隔30年之後，臺灣再次取得國際技能賽事的主辦權。相信透過這個機會，大家可以和亞洲各國的高手，一起切磋交流，拓展國際視野，也能帶動大家提升技術水準。

最後，總統期待在未來，大家可以繼續發揮專業，與各個領域的專業職人對話交流、共同合作，相信可以對目前社會面臨的問題，帶來更多創意的解方，也將促進臺灣的進步發展。

代表團一行由勞動部長許銘春陪同，前來總統府晉見總統，總統府秘書長李大維也在場。"
